,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
0,172.217.6.202-10.42.0.211-443-50004-6,10.42.0.211,50004,172.217.6.202,443,6,13/06/2017 11:52:39,37027,1,1,0,0,0,0,0,0,0,0,0,0,0,54.01463797,37027,0,37027,37027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.00731898,27.00731898,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2994,362,0,32,0,0,0,0,0,0,0,0,Android_Adware
1,172.217.6.202-10.42.0.211-443-35455-6,10.42.0.211,35455,172.217.6.202,443,6,13/06/2017 11:52:39,36653,1,1,0,0,0,0,0,0,0,0,0,0,0,54.5657927,36653,0,36653,36653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.28289635,27.28289635,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2860,362,0,32,0,0,0,0,0,0,0,0,Android_Adware
2,131.253.61.68-10.42.0.211-443-51775-6,10.42.0.211,51775,131.253.61.68,443,6,13/06/2017 11:52:42,534099,8,12,1011,11924,581,0,126.375,207.7993108,1460,0,993.6666667,656.4743758,24218.35652,37.44624124,28110.47368,43148.09504,158676,8,481340,68762.85714,62376.18208,158676,449,487990,44362.72727,86342.04254,217790,8,0,0,0,0,180,244,14.9784965,22.46774474,0,1460,615.952381,672.7447864,452585.5476,0,0,0,1,0,0,0,0,1,646.75,126.375,993.6666667,180,0,0,0,0,0,0,8,1011,12,11924,65535,63441,3,20,0,0,0,0,0,0,0,0,Android_Adware
3,131.253.61.68-10.42.0.211-443-51775-6,10.42.0.211,51775,131.253.61.68,443,6,13/06/2017 11:52:43,9309,3,0,0,0,0,0,0,0,0,0,0,0,0,322.2687722,4654.5,5137.130765,8287,1022,9309,4654.5,5137.130765,8287,1022,0,0,0,0,0,0,0,0,0,60,0,322.2687722,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,Android_Adware
4,131.253.61.68-10.42.0.211-443-51776-6,10.42.0.211,51776,131.253.61.68,443,6,13/06/2017 11:52:42,19890496,8,6,430,5679,218,0,53.75,99.53857831,1460,0,946.5,710.4122043,307.131607,0.70385374,1530038.154,5377887.226,19426714,7,19890496,2841499.429,7314093.152,19426714,639,410964,82192.8,154845.683,355945,7,0,0,0,0,180,124,0.402202137,0.301651603,0,1460,407.2666667,626.9584706,393076.9238,0,0,0,1,0,0,0,0,0,436.3571429,53.75,946.5,180,0,0,0,0,0,0,8,430,6,5679,65535,64022,2,20,0,0,0,0,0,0,0,0,Android_Adware
5,10.42.0.211-23.208.43.179-50186-443-6,10.42.0.211,50186,23.208.43.179,443,6,13/06/2017 11:52:43,19196263,5,2,0,0,0,0,0,0,0,0,0,0,0,0.364654308,3199377.167,5886828.2,14995041,3915,19196263,4799065.75,7048340.736,15210827,28574,14998956,14998956,0,14998956,14998956,0,0,0,0,188,80,0.260467363,0.104186945,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,5,0,2,0,65535,28960,0,32,1016299,0,1016299,1016299,14995041,0,14995041,14995041,Android_Adware
6,10.42.0.211-23.208.43.179-50186-443-6,10.42.0.211,50186,23.208.43.179,443,6,13/06/2017 11:53:03,4304325,1,2,0,0,0,0,0,0,0,0,0,0,0,0.696973393,2152162.5,3007423.428,4278732,25593,0,0,0,0,0,4278732,4278732,0,4278732,4278732,0,0,0,0,32,64,0.232324464,0.464648929,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,1369,905,0,32,0,0,0,0,0,0,0,0,Android_Adware
7,172.217.3.110-10.42.0.211-443-40087-6,10.42.0.211,40087,172.217.3.110,443,6,13/06/2017 11:53:16,37926,1,2,23,0,23,23,23,0,0,0,0,0,606.444128,79.10140801,18963,25819.29701,37220,706,0,0,0,0,0,706,706,0,706,706,1,0,0,0,32,64,26.367136,52.734272,0,23,11.5,13.27905619,176.3333333,0,1,0,0,1,0,0,0,2,15.33333333,23,0,32,0,0,0,0,0,0,1,23,2,0,1638,362,0,32,0,0,0,0,0,0,0,0,Android_Adware
8,172.217.3.110-10.42.0.211-443-52564-6,10.42.0.211,52564,172.217.3.110,443,6,13/06/2017 11:53:17,36631,1,2,23,0,23,23,23,0,0,0,0,0,627.8834867,81.89784609,18315.5,25708.28124,36494,137,0,0,0,0,0,137,137,0,137,137,1,0,0,0,32,64,27.29928203,54.59856406,0,23,11.5,13.27905619,176.3333333,0,1,0,0,1,0,0,0,2,15.33333333,23,0,32,0,0,0,0,0,0,1,23,2,0,1419,362,0,32,0,0,0,0,0,0,0,0,Android_Adware
9,10.42.0.211-31.13.71.3-46130-443-6,10.42.0.211,46130,31.13.71.3,443,6,13/06/2017 11:53:33,36535,1,2,0,31,0,0,0,0,31,0,15.5,21.92031022,848.501437,82.11304229,18267.5,25752.12186,36477,58,0,0,0,0,0,58,58,0,58,58,0,0,0,0,32,64,27.3710141,54.74202819,0,31,7.75,15.5,240.25,0,0,0,0,1,1,0,0,2,10.33333333,0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,Android_Adware
10,10.42.0.211-31.13.71.1-47658-443-6,10.42.0.211,47658,31.13.71.1,443,6,13/06/2017 11:53:33,221194,2,0,0,0,0,0,0,0,0,0,0,0,0,9.041836578,221194,0,221194,221194,221194,221194,0,221194,221194,0,0,0,0,0,0,0,0,0,64,0,9.041836578,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,Android_Adware
